"제어번호","제목","저자","발행처","발행년도","ISBN번호","분류기호","대출횟수"
"000001570362","Oleg Sentsov","[by] Oleksandr Mymruk","Folio","2018","9789660383937","8","4"
"000001570370","Permanent revolution :art in Ukraine, the 20th to the early 21st century","[by] Alisa Lozhkina","ArtHuss","2020","9786177799770","6","4"
"000001509226","SNUH manual of medicine","서울대학교 의과대학 내과학교실 저","고려의학","2020","9791189210298","5","4"
"000001523716","She who became the sun","[by] Shelley Parker-Chan","Mantle","2021","9781529043389","8","4"
"000001637354","The Jungle Book (Paperback)","조지프 러디어드 키플링 지음","Penguin U.K","    ","","8","4"
"000000538497","Ukraine : new discoveries, new opportunities, common future =Ukraine : neue Entdeckungen, neue Mo?glichkeiten","Mi?ni?sterstvo osvi?ti i nauki","Ukraina-Vidoma","2007","9789668895319","9","4"
"000000538499","Ukraine : treasures of museums and reserves : guide-book","Leonid Novochatko","Vydavnyc?a Firma C?orli","1997","9789669520005","9","4"
"000001590160","Ukraine :West.East","[by] Andrii Tychyna","Folio","2018","9789660385092","9","4"
"000001570389","Ukraine :food and history","[by] Olena Braichenko","?zhak","2020","9789669788245","9","4"
"000001304103","Ukraine :travelbook","by Green Penguin Creative Agency","Green Penguin Media","2018","9789669784803","9","4"
"000001570371","Who we are :Indigenous Peoples and National Minorities of Ukraine","[by]?Богдан Логвиненко","Ukrainer","2021","9786176425939","6","4"
"000001637072","Why? 세계사 브라질","박준형.양윤정 지음, 코믹팜 그림, 이승용 감수","예림당","    ","9788930238700","9","4"
"000001637677","Wow 5000년 세계여성 위인전 1","신현배","형설아이","2022","9788947286312","9","4"
"000001621284","YTN 사이언스 생각연구소","이동귀","박영스토리","2019","9791189643355","1","4"
"000001590180","?гор С?корський","[by] ?гор Коляда","Folio","2020","9789660395200","5","4"
"000001590173","А мама зрозум??..","[by] Леон?д Матюх?н","Д?ПА","2020","9786177606238","9","4"
"000001570374","Випробовуючи долю, гартуючи волю :Укра?на й укра?нц? в ХХ ? на початку ХХ? ст.: Укра?на й укра?нц? в 1917?1939 рр .1","[by] Лариса Якубова","?Кл?о","2021","9786177755370","9","4"
"000001570377","Загублене царство :?стор?я ?Русского мира? з 1470 року до сьогодн?","[by] Серг?й Плох?й","Folio","2020","9789660394902","9","4"
"000001570390","Ковчег :Укра?на","[by] Ярина Винничька","Коло","2021","9789669790057","6","4"
"000001570357","Куди ? зв?дки","[by] Романа Романишин","Видавництво Старого Лева","2020","9786176798217","8","4"
"000001590177","Кузьма Скряб?н","[by] Мар?я Згурська","Folio","2020","9789660396343","6","4"
"000001590174","Культура д?алогу","[by] Олесь Дон?й","Folio","2021","9789660398764","3","4"
"000001570382","К?но народжене Укра?ною :?люстрована ?стор?я","[by] Серг?й Тримбач","Сам?т-книга","2020","9789669862839","6","4"
"000001590178","Леон?д Биков","[by] Ростислав Колом??ць","Folio","2020","9789660394445","6","4"
"000001570366","Майдан в?д першо? особи :45 ?стор?й Революц?? г?дност?","[by] Т. Ковтунович","K.I.C","2015","9786176841258","8","4"
"000001590171","Ми завжди будемо разом","[edited by] Moungsouk Yeo","Seoul National University Social Responsibility","2022","9791192262062","8","4"
"000001570372","НАСНИЛИСЯ МЕН? КВ?ТУЧ? РУЖ?…","complier Serhii Nagornyanskyy","Huss","2017","9786177518142","8","4"
"000001570338","ТУКОН? :мешканець л?су","[by] Оксана Була","Видавництво Старого Лева","2018","9786176794929","8","4"
"000001570347","Та?мниц? Льв?вськи Лев?в","[by] Петро Радковець","Видавництво Старого Лева","2015","9786176791423","8","4"
"000001570343","Тетяна Та?рова-Яковл?ва :?ван мазепа vs ?мпер?я Петра","[by] Переклад з рос?йсько? Юр?я Мицика","?Кл?о","2021","9786177755431","9","4"
"000001570342","Укра??нське стол?ття (1921-2021) :витоки, уроки, перспективи державотворення","[by] Тетяна Водотика","?Кл?о","2022","9786177755455","9","4"
"000001570388","Укра?на 30","[by] Мар?я Згурська","Folio","2021","9789660399051","8","4"
"000000538492","Укра?на Украина;Ukraine","Тарасов","Baltii?a? Druk","2004","9789668137020","9","4"
"000001570344","Укра?нська Кл?о :Нариси про ?стор?ю, ?сторик?в, та пам’ять","[by] Серг?й Плох?й","?Кл?о","2021","9786177755424","9","4"
"000001570355","Укра?нська Народна ?грашка","[by] ?ВГЕН ШЕВЧЕНКО","НАРОДН? ДЖЕРЕЛА","2006","9669517016","6","4"
"000001590179","Укра?нська автоном?я та утворення УНР","[by] Богдан Грушецький","Folio","2021","9789660398542","9","4"
"000001570354","Укра?нське Народне Малярство :Всеукра?нська виставка","[by] ?ВГЕН ШЕВЧЕНКО","НАРОДН? ДЖЕРЕЛА","2005","9669517014","6","4"
"000001570334","Хрон?ка В?йна 2014-2020 .Том 3 ,П'ять рок?в г?бридно? в?йни","[by] Дар'я Бура Олександр Красовицький","Folio","2020","9789660395121","9","4"
